Trial_ID,Scenario,Device,Trial_Num,Disconnect_Distance_m,Disconnect_Steps,Notes
DD-01,Office,AirTag,1,11,22,
DD-02,Office,AirTag,2,14.5,29,
DD-03,Office,AirTag,3,14.5,29,
DD-04,Office,AirTag,4,16,32,
DD-05,Office,AirTag,5,17.5,35,
DD-06,Office,AirPods,1,6.5,13,
DD-07,Office,AirPods,2,10,20,
DD-08,Office,AirPods,3,26.5,53,
DD-09,Office,AirPods,4,25,50,
DD-10,Office,AirPods,5,20.5,41,
DD-11,Office,AppleWatch,1,10,20,
DD-12,Office,AppleWatch,2,2.5,5,
DD-13,Office,AppleWatch,3,20,40,
DD-14,Office,AppleWatch,4,10,20,
DD-15,Office,AppleWatch,5,17.5,35,
DD-16,Subway,AirTag,1,12.5,25,
DD-17,Subway,AirTag,2,17.5,35,
DD-18,Subway,AirTag,3,9.5,19,
DD-19,Subway,AirTag,4,12,24,
DD-20,Subway,AirTag,5,14.5,29,
DD-21,Subway,AirPods,1,16.5,33,
DD-22,Subway,AirPods,2,15,30,
DD-23,Subway,AirPods,3,12,24,
DD-24,Subway,AirPods,4,17.5,35,
DD-25,Subway,AirPods,5,10,20,
DD-26,Subway,AppleWatch,1,21.5,43,
DD-27,Subway,AppleWatch,2,15.5,31,
DD-28,Subway,AppleWatch,3,17.5,35,
DD-29,Subway,AppleWatch,4,17.5,35,
DD-30,Subway,AppleWatch,5,19,38,
DD-31,Mall,AirTag,1,11.5,23,
DD-32,Mall,AirTag,2,21.5,43,
DD-33,Mall,AirTag,3,10,20,
DD-34,Mall,AirTag,4,15.5,31,
DD-35,Mall,AirTag,5,17.5,35,
DD-36,Mall,AirPods,1,12.5,25,
DD-37,Mall,AirPods,2,25,50,
DD-38,Mall,AirPods,3,26,52,
DD-39,Mall,AirPods,4,16,32,
DD-40,Mall,AirPods,5,13.5,27,
DD-41,Mall,AppleWatch,1,10,20,
DD-42,Mall,AppleWatch,2,15,30,
DD-43,Mall,AppleWatch,3,6.5,13,
DD-44,Mall,AppleWatch,4,12.5,25,
DD-45,Mall,AppleWatch,5,11.5,23,
DD-46,Cafeteria,AirTag,1,7.5,15,
DD-47,Cafeteria,AirTag,2,10,20,
DD-48,Cafeteria,AirTag,3,20,40,
DD-49,Cafeteria,AirTag,4,14,28,
DD-50,Cafeteria,AirTag,5,16.5,33,
DD-51,Cafeteria,AirPods,1,10.5,21,
DD-52,Cafeteria,AirPods,2,13,26,
DD-53,Cafeteria,AirPods,3,11,22,
DD-54,Cafeteria,AirPods,4,22.5,45,
DD-55,Cafeteria,AirPods,5,10,20,
DD-56,Cafeteria,AppleWatch,1,12.5,25,
DD-57,Cafeteria,AppleWatch,2,13,26,
DD-58,Cafeteria,AppleWatch,3,16.5,33,
DD-59,Cafeteria,AppleWatch,4,20,40,
DD-60,Cafeteria,AppleWatch,5,18,36,
