PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 05:42:02.203,2844189459,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:06.232,2848220988,db:c9:83:9f:37:a3,-19,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:08.226,2850212085,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:10.243,2852226098,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:12.236,2854215128,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:14.258,2856232167,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:16.261,2858229458,db:c9:83:9f:37:a3,-19,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:18.268,2860239111,db:c9:83:9f:37:a3,-19,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:20.263,2862235843,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:22.268,2864241562,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:24.272,2866250382,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
