PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 01:01:40.058,155362072,f0:c8:70:01:04:0f,-79,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB076478257001040FC5,30,0,0,0,0
2026-05-03 01:01:40.070,155374536,f0:c8:70:01:03:22,-83,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782570010322C512164C4B0BB80300F0C870010322000000000008094B303130333232,58,0,0,0,0
2026-05-03 01:01:40.078,155387523,f0:c8:70:01:03:38,-79,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782570010338C5,30,0,0,0,0
2026-05-03 01:01:40.089,155400380,6d:ee:d4:0a:df:d0,-55,0x02011A17FF4C00090813030A4FCDE21B5816080078D1DF2E047E5E,27,0,0,1,0
2026-05-03 01:01:40.099,155402502,f0:c8:70:01:04:18,-78,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782570010418C5,30,0,0,0,0
2026-05-03 01:01:40.106,155415793,f0:c8:70:01:03:28,-85,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782570010328C5,30,0,0,0,0
2026-05-03 01:01:40.115,155427543,f0:c8:70:01:04:06,-82,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782570010406C5,30,0,0,0,0
2026-05-03 01:01:40.127,155429781,d9:06:27:00:01:78,-89,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782527111E5ABE,30,0,0,0,0
2026-05-03 01:01:40.129,155441403,f0:c8:70:01:03:26,-75,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782570010326C5,30,0,0,0,0
2026-05-03 01:01:40.140,155453644,f0:c8:70:01:03:1e,-79,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB076478257001031EC5,30,0,0,0,0
2026-05-03 01:01:40.155,155465527,f0:c8:70:01:04:24,-77,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782570010424C512164C4B0BC00300F0C870010424000000000008094B303130343234,58,0,0,0,0
2026-05-03 01:01:40.159,155477792,3d:c3:20:e2:bc:5d,-80,0x1EFF0600010F20228B322B95753B82B244CBA589C03B06F4664DA20676D436,31,0,0,1,0
2026-05-03 01:01:40.179,155490281,d8:11:28:00:02:6f,-84,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782527111DADBE14166011640E1300640341D8112800026F27111DAD080978426561636F6E,60,0,0,0,0
2026-05-03 01:01:40.189,155502850,d9:06:27:00:02:f3,-93,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782527111FD5BE14166011640E1300640341D906270002F327111FD5080978426561636F6E,60,0,0,0,0
2026-05-03 01:01:40.205,155516178,d8:11:28:00:02:70,-83,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782527111DAEBE,30,0,0,0,0
2026-05-03 01:01:40.213,155527882,6c:61:4c:56:6f:62,-72,0x02011A17FF4C00090813550A4F3D3D1B5816080044692E4FD707D7,27,0,0,1,0
2026-05-03 01:01:40.223,155528820,5a:bb:32:af:4f:e3,-94,0x0BFF4C00090603038F59412A,12,0,0,1,0
2026-05-03 01:01:40.236,155540354,d8:11:28:00:02:48,-91,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782527111D86BE14166011640E1300640341D8112800024827111D86080978426561636F6E,60,0,0,0,0
2026-05-03 01:01:40.245,155553640,d9:06:27:00:01:7d,-87,0x0201061AFF4C000215FDA50693A4E24FB1AFCFC6EB0764782527111E5FBE,30,0,0,0,0
