Address,Start,End,Duration
C1:0D:11:F8:40:33,2025-06-01 00:25:00,2025-06-01 00:51:00,0 days 00:26:00
C1:19:81:C4:15:38,2025-06-01 12:55:00,2025-06-01 13:03:00,0 days 00:08:00
C1:24:AF:88:CA:24,2025-05-31 19:18:00,2025-05-31 19:44:00,0 days 00:26:00
C1:59:AE:37:84:25,2025-06-02 04:30:00,2025-06-02 04:55:00,0 days 00:25:00
C1:A0:D7:97:8A:BC,2025-06-01 17:13:00,2025-06-01 17:39:00,0 days 00:26:00
C1:DC:8E:52:88:6A,2025-06-02 09:55:00,2025-06-02 10:31:00,0 days 00:36:00
C1:DE:18:92:84:6D,2025-06-01 03:38:00,2025-06-01 04:04:00,0 days 00:26:00
C2:92:D1:52:9B:9B,2025-06-02 16:08:00,2025-06-02 16:31:00,0 days 00:23:00
C2:BC:71:29:28:97,2025-06-01 21:00:00,2025-06-01 21:14:00,0 days 00:14:00
C3:41:8C:C3:4A:60,2025-05-31 23:34:00,2025-05-31 23:50:00,0 days 00:16:00
C3:7F:30:41:30:6B,2025-05-31 23:00:00,2025-05-31 23:15:00,0 days 00:15:00
C3:D5:83:83:0E:62,2025-06-02 14:22:00,2025-06-02 14:48:00,0 days 00:26:00
C3:EC:E7:24:C2:5B,2025-06-01 10:06:00,2025-06-01 10:18:00,0 days 00:12:00
C4:29:1E:A9:D5:A6,2025-06-01 23:40:00,2025-06-01 23:49:00,0 days 00:09:00
C4:9D:EA:4F:37:19,2025-06-01 08:55:00,2025-06-01 09:21:00,0 days 00:26:00
C5:C1:B1:90:61:E7,2025-06-02 04:55:00,2025-06-02 05:21:00,0 days 00:26:00
C7:DD:E0:A4:F9:B4,2025-06-01 18:04:00,2025-06-01 18:30:00,0 days 00:26:00
C9:4D:EF:3A:E6:97,2025-06-01 12:22:00,2025-06-01 12:30:00,0 days 00:08:00
C9:90:20:D2:17:2D,2025-06-01 03:08:00,2025-06-01 03:17:00,0 days 00:09:00
