Time (us),Address,RSSI (dBm),Raw data,Connectable,Addr Type
24381601056,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24383599376,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24385607666,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24389622339,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24391628190,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24393639489,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24395641719,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24401657604,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24405661085,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24407674091,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24409669174,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24413678671,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24415684955,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24417695916,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24419704380,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
