distance_m,sound_level_dB,connection_duration_s
0,91.81,2.136
0,91.9,1.301
0,91.79,1.41
0,91.94,2.203
0,91.77,1.08
10,36.14,1.378
10,36.01,4.111
10,44.61,2.468
10,43.33,2.054
10,35.75,0.875
10,37.72,2.942
10,46.19,0.443
10,45.02,0.36
10,42.87,0.877
10,35.72,0.873
20,37.57,0.818
20,39.52,0.884
20,38.27,1.836
20,38.43,1.859
20,38.09,0.403
30,36.26,0.987
30,35.16,0.605
30,36.11,0.526
30,36.71,0.789
30,34.8,2.536
40,28.19,2.023
40,28.88,0.741
40,28.05,1.314
40,31.26,1.859
40,30.41,2.146
50,29.93,1.152
50,26.71,2.091
50,27.8,1.065
50,27.83,0.949
50,27.12,1.253
50,29.19,1.745
50,28.91,4.158
60,32.51,1.723
60,29.88,2.795
60,28.16,1.979
60,31.57,0.443
60,30.18,0.713
70,26.51,0.664
70,26.14,8.718
70,25.81,0.904
70,26.83,1.701
70,25.11,3.989
80,27.09,5.219
80,26.84,2.954
80,26.63,3.457
80,26.81,20.506
80,26.78,0.491
